"season","page_id","team_name","team_short_name","home_away_flag","team_name_opp","team_short_name_opp","points_total","points_total_opp","points_margin","team_result","minutes","field_goals_made","field_goals_attempted","field_goals_percentage","three_pointers_made","three_pointers_attempted","three_pointers_percentage","two_pointers_made","two_pointers_attempted","two_pointers_percentage","free_throws_made","free_throws_attempted","free_throws_percentage","rebounds_defensive","rebounds_offensive","rebounds_total","assists","turnovers","steals","blocks","blocks_received","fouls_personal","fouls_on","fouls_total","points","points_from_turnovers","points_second_chance","points_fast_break","bench_points","points_in_the_paint","time_leading","biggest_lead","biggest_scoring_run","lead_changes","times_scores_level","fouls_team","rebounds_team","rebounds_team_defensive","rebounds_team_offensive","turnovers_team"
"2019",1330538,"Melbourne Boomers","Boomers","away","Sydney Uni Flames","Flames",86,63,23,"W","200:00","34","84","40","11","26","42","23","58","39","7","10","70","31","22","53","20","10","9","4","8","19","13","19","86","17","18","5","18","44","33","24","10","7","6","0","5","2","3","0"
"2019",1330539,"Adelaide Lightning","Lightning","home","Melbourne Boomers","Boomers",69,74,-5,"L","200:00","28","69","40","2","20","10","26","49","53","11","13","84","37","6","43","19","15","9","5","4","9","12","9","69","17","7","14","0","50","2.7183333333333","3","7","5","3","0","5","5","0","1"
"2019",1330539,"Melbourne Boomers","Boomers","away","Adelaide Lightning","Lightning",74,69,5,"W","200:00","27","73","36","9","20","45","18","53","33","11","13","84","35","11","46","20","14","9","4","5","12","9","12","74","19","9","7","12","32","34.9","14","7","5","3","0","3","1","2","1"
"2019",1330540,"Townsville Fire","Fire","home","UC Capitals","Capitals",102,69,33,"W","200:00","37","65","56","16","26","61","21","39","53","12","14","85","33","10","43","28","15","7","4","1","16","13","16","102","19","6","9","23","36","38.716666666667","35","9","0","1","0","4","3","1","1"
"2019",1330540,"UC Capitals","Capitals","away","Townsville Fire","Fire",69,102,-33,"L","200:00","24","66","36","3","11","27","21","55","38","18","20","90","19","9","28","16","11","7","1","4","13","16","13","69","17","6","2","6","34","0",,"6","0","1","0","6","5","1","1"
"2019",1330541,"Perth Lynx","Lynx","home","Bendigo Spirit","Spirit",100,81,19,"W","200:00","38","71","53","13","31","41","25","40","62","11","14","78","27","12","39","23","11","11","9","1","16","18","16","100","17","11","11","45","32","35.7","25","15","11","1","0","4","4","0","0"
"2019",1330541,"Bendigo Spirit","Spirit","away","Perth Lynx","Lynx",81,100,-19,"L","200:00","29","70","41","12","25","48","17","45","37","11","14","78","23","16","39","18","17","4","1","9","18","16","18","81","12","16","2","45","24","3.8666666666667","3","8","11","1","0","8","3","5","1"
"2019",1330542,"Sydney Uni Flames","Flames","home","Townsville Fire","Fire",76,83,-7,"L","200:00","31","69","44","4","14","28","27","55","49","10","12","83","28","12","40","13","12","7","9","5","12","11","12","76","12","12","4","7","48","25.955","12","7","8","8","0","5","1","4","0"
"2019",1330542,"Townsville Fire","Fire","away","Sydney Uni Flames","Flames",83,76,7,"W","200:00","31","69","44","14","29","48","17","40","42","7","10","70","27","10","37","20","13","8","5","9","11","12","11","83","10","12","8","10","28","10.061666666667","7","7","8","8","0","4","1","3","0"
"2019",1330543,"Melbourne Boomers","Boomers","home","Southside Flyers","Flyers",73,75,-2,"L","225:00","29","70","41","5","16","31","24","54","44","10","15","66","31","14","45","19","23","11","4","6","18","16","18","73","24","11","4","18","48","32.26","9","12","4","6","0","8","3","5","2"
